round_id,source,timestamp,multiplier,color,band,points,session_id
319,aviator,2026-07-24T15:00:21.399+00:00,1.33,"rgb(52, 180, 255)",floor,112.343,1
320,aviator,2026-07-24T15:00:40.572+00:00,1.84,"rgb(52, 180, 255)",low,126.391,1
321,aviator,2026-07-24T15:00:56.764+00:00,1.3,"rgb(52, 180, 255)",floor,111.355,1
322,aviator,2026-07-24T15:01:14.992+00:00,1.61,"rgb(52, 180, 255)",low,120.612,1
323,aviator,2026-07-24T15:01:26.615+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
324,aviator,2026-07-24T15:02:14.245+00:00,18.95,"rgb(192, 23, 180)",ignition,227.324,1
325,aviator,2026-07-24T15:03:03.663+00:00,23.91,"rgb(192, 23, 180)",moonshot,237.386,1
326,aviator,2026-07-24T15:03:51.122+00:00,17.98,"rgb(192, 23, 180)",ignition,225.05,1
327,aviator,2026-07-24T15:04:07.363+00:00,1.29,"rgb(52, 180, 255)",floor,111.021,1
329,aviator,2026-07-24T15:04:35.665+00:00,3.85,"rgb(145, 62, 248)",mid,158.346,1
330,aviator,2026-07-24T15:04:48.783+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
331,aviator,2026-07-24T15:05:03.843+00:00,1.32,"rgb(52, 180, 255)",floor,112.016,1
332,aviator,2026-07-24T15:05:19.010+00:00,1.24,"rgb(52, 180, 255)",floor,109.31,1
333,aviator,2026-07-24T15:05:30.368+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
334,aviator,2026-07-24T15:05:57.908+00:00,3.72,"rgb(145, 62, 248)",mid,156.859,1
335,aviator,2026-07-24T15:06:12.142+00:00,1.18,"rgb(52, 180, 255)",dust,107.164,1
336,aviator,2026-07-24T15:06:34.464+00:00,2.27,"rgb(145, 62, 248)",base,135.481,1
337,aviator,2026-07-24T15:07:33.076+00:00,52.23,"rgb(192, 23, 180)",mega,271.204,1
338,aviator,2026-07-24T15:07:57.444+00:00,2.54,"rgb(145, 62, 248)",base,140.345,1
339,aviator,2026-07-24T15:08:11.450+00:00,1.17,"rgb(52, 180, 255)",dust,106.795,1
340,aviator,2026-07-24T15:08:31.553+00:00,1.44,"rgb(52, 180, 255)",floor,115.782,1
341,aviator,2026-07-24T15:09:03.726+00:00,5.29,"rgb(145, 62, 248)",high,172.098,1
342,aviator,2026-07-24T15:09:34.926+00:00,4.98,"rgb(145, 62, 248)",mid,169.484,1
343,aviator,2026-07-24T15:09:47.984+00:00,1.01,"rgb(52, 180, 255)",dust,100.431,1
344,aviator,2026-07-24T15:10:10.313+00:00,2.32,"rgb(145, 62, 248)",base,136.424,1
345,aviator,2026-07-24T15:11:01.803+00:00,26.19,"rgb(192, 23, 180)",moonshot,241.328,1
346,aviator,2026-07-24T15:11:23.009+00:00,1.99,"rgb(52, 180, 255)",low,129.783,1
348,aviator,2026-07-24T15:11:37.052+00:00,1.05,"rgb(52, 180, 255)",dust,102.112,1
349,aviator,2026-07-24T15:11:51.148+00:00,1.18,"rgb(52, 180, 255)",dust,107.164,1
350,aviator,2026-07-24T15:12:11.304+00:00,1.84,"rgb(52, 180, 255)",low,126.391,1
351,aviator,2026-07-24T15:12:53.576+00:00,11.94,"rgb(192, 23, 180)",ignition,207.332,1
352,aviator,2026-07-24T15:13:23.884+00:00,4.12,"rgb(145, 62, 248)",mid,161.279,1
353,aviator,2026-07-24T15:13:41.024+00:00,1.32,"rgb(52, 180, 255)",floor,112.016,1
354,aviator,2026-07-24T15:14:17.172+00:00,7.16,"rgb(145, 62, 248)",high,185.199,1
355,aviator,2026-07-24T15:14:41.311+00:00,2.74,"rgb(145, 62, 248)",base,143.625,1
356,aviator,2026-07-24T15:14:55.464+00:00,1.05,"rgb(52, 180, 255)",dust,102.112,1
357,aviator,2026-07-24T15:15:12.683+00:00,1.5,"rgb(52, 180, 255)",low,117.549,1
358,aviator,2026-07-24T15:15:26.721+00:00,1.12,"rgb(52, 180, 255)",dust,104.905,1
359,aviator,2026-07-24T15:15:40.956+00:00,1.03,"rgb(52, 180, 255)",dust,101.279,1
361,aviator,2026-07-24T15:15:56.025+00:00,1.39,"rgb(52, 180, 255)",floor,114.253,1
362,aviator,2026-07-24T15:16:14.197+00:00,1.72,"rgb(52, 180, 255)",low,123.472,1
363,aviator,2026-07-24T15:16:33.314+00:00,1.62,"rgb(52, 180, 255)",low,120.88,1
364,aviator,2026-07-24T15:17:02.439+00:00,4.71,"rgb(145, 62, 248)",mid,167.072,1
365,aviator,2026-07-24T15:17:59.194+00:00,39.29,"rgb(192, 23, 180)",moonshot,258.883,1
